date,county,confirmed_hosp,suspected_hosp,total_hosp,population,total_doses,cumulative_fully_vaccinated,pct_fully_vaccinated
2020-03-29,Alameda,36,91,127,1680380,NA,NA,NA
2020-03-29,Amador,1,0,1,40532,NA,NA,NA
2020-03-29,Butte,NA,NA,NA,210135,NA,NA,NA
2020-03-29,Calaveras,NA,NA,NA,45346,NA,NA,NA
2020-03-29,Colusa,NA,NA,NA,21858,NA,NA,NA
2020-03-29,Contra Costa,23,62,85,1165986,NA,NA,NA
2020-03-29,Del Norte,1,2,3,27601,NA,NA,NA
2020-03-29,El Dorado,0,6,6,191220,NA,NA,NA
2020-03-29,Fresno,8,116,124,1009503,NA,NA,NA
2020-03-29,Glenn,NA,NA,NA,28896,NA,NA,NA
2020-03-29,Humboldt,1,10,11,136261,NA,NA,NA
2020-03-29,Imperial,5,100,105,179595,NA,NA,NA
2020-03-29,Inyo,NA,NA,NA,19001,NA,NA,NA
2020-03-29,Kern,16,57,73,905828,NA,NA,NA
2020-03-29,Kings,2,5,7,152790,NA,NA,NA
2020-03-29,Lake,0,1,1,68195,NA,NA,NA
2020-03-29,Lassen,0,2,2,32317,NA,NA,NA
2020-03-29,Los Angeles,489,1132,1621,9992236,NA,NA,NA
2020-03-29,Madera,1,6,7,156343,NA,NA,NA
2020-03-29,Marin,7,13,20,261282,NA,NA,NA
2020-03-29,Mendocino,1,11,12,91361,NA,NA,NA
2020-03-29,Merced,1,7,8,281814,NA,NA,NA
2020-03-29,Modoc,0,0,0,8663,NA,NA,NA
2020-03-29,Mono,0,1,1,13226,NA,NA,NA
2020-03-29,Monterey,2,16,18,438390,NA,NA,NA
2020-03-29,Napa,0,26,26,137485,NA,NA,NA
2020-03-29,Nevada,23,NA,NA,102249,NA,NA,NA
2020-03-29,Orange,74,167,241,3185516,NA,NA,NA
2020-03-29,Placer,18,14,32,405889,NA,NA,NA
2020-03-29,Plumas,0,1,1,19749,NA,NA,NA
2020-03-29,Riverside,44,78,122,2422847,NA,NA,NA
2020-03-29,Sacramento,36,27,63,1586465,NA,NA,NA
2020-03-29,San Benito,1,1,2,64521,NA,NA,NA
2020-03-29,San Bernardino,33,123,156,2183239,NA,NA,NA
2020-03-29,San Diego,121,211,332,3296045,NA,NA,NA
2020-03-29,San Francisco,50,73,123,870393,NA,NA,NA
2020-03-29,San Joaquin,34,35,69,780558,NA,NA,NA
2020-03-29,San Luis Obispo,7,12,19,281879,NA,NA,NA
2020-03-29,San Mateo,46,27,73,762511,NA,NA,NA
2020-03-29,Santa Barbara,15,21,36,448244,NA,NA,NA
2020-03-29,Santa Clara,141,72,213,1931026,NA,NA,NA
2020-03-29,Santa Cruz,0,0,0,270462,NA,NA,NA
2020-03-29,Shasta,0,0,0,181984,NA,NA,NA
2020-03-29,Siskiyou,0,0,0,43991,NA,NA,NA
2020-03-29,Solano,7,27,34,452698,NA,NA,NA
2020-03-29,Sonoma,7,20,27,488281,NA,NA,NA
2020-03-29,Stanislaus,20,48,68,553217,NA,NA,NA
2020-03-29,Sutter,0,0,0,99464,NA,NA,NA
2020-03-29,Tehama,0,0,0,65682,NA,NA,NA
2020-03-29,Trinity,0,0,0,16089,NA,NA,NA
2020-03-29,Tulare,6,13,19,473891,NA,NA,NA
2020-03-29,Tuolumne,1,5,6,55374,NA,NA,NA
2020-03-29,Ventura,24,85,109,843310,NA,NA,NA
2020-03-29,Yolo,2,3,5,216291,NA,NA,NA
2020-03-29,Yuba,2,12,14,81994,NA,NA,NA
2020-03-30,Alameda,59,89,148,1680380,NA,NA,NA
2020-03-30,Amador,0,1,1,40532,NA,NA,NA
2020-03-30,Butte,4,12,16,210135,NA,NA,NA
2020-03-30,Calaveras,0,3,3,45346,NA,NA,NA
2020-03-30,Colusa,0,1,1,21858,NA,NA,NA
2020-03-30,Contra Costa,25,54,79,1165986,NA,NA,NA
2020-03-30,Del Norte,0,2,2,27601,NA,NA,NA
2020-03-30,El Dorado,0,9,9,191220,NA,NA,NA
